player_name,nation,position,squad,compition,age_years,born_year,match_played,starts,min,goal,assist,expected_goal,expected_assisted_goal,non-penalty_expected_goal,progressive_carries,progressive_passes,progressive_passes_receive,age_scaled,value_score,value_tier
Weston McKennie,USA,MF,Leeds United,Premier League,24,1998,8,6,580.0,0.4,4.0,8.0,14.0,38.0,,,,0.6586411701678685,-1.0620104326323105,Mid
Weston McKennie,USA,"MF,DF",Juventus,Serie A,24,1998,15,13,1052.0,1.0,1.0,0.9,1.6,0.7,19.0,54.0,0.09,0.6586411701678685,-0.1685114268498461,Mid
Dwight McNeil,ENG,"FW,MF",Everton,Premier League,23,1999,26,18,1598.0,3.0,2.0,1.3,3.5,1.3,47.0,44.0,89.0,0.8968980669891568,2.8304273846829466,High
Scott McTominay,SCO,MF,Manchester Utd,Premier League,26,1996,18,7,865.0,0.8,6.0,9.0,16.0,24.0,0.08,0.11,0.08,0.18212737652529207,-2.3656180091396575,Low
Gary Medel,CHI,"MF,DF",Bologna,Serie A,35,1987,21,16,1324.0,0.1,1.0,1.0,0.4,0.3,0.0,5.0,0.07,-1.962184694866302,-4.051737463520373,Low
Facundo Medina,ARG,DF,Lens,Ligue 1,23,1999,23,23,1970.0,1.0,3.0,2.0,0.8,2.0,63.0,188.0,28.0,0.8968980669891568,8.29041389130535,High
Ben Mee,ENG,DF,Brentford,Premier League,33,1989,26,26,2288.0,3.0,3.0,1.8,2.0,0.2,3.0,11.0,0.12,-1.4856709012237255,-0.1591864007959125,Mid
Bamo Meïté,CIV,DF,Lorient,Ligue 1,21,2001,9,8,789.0,1.0,1.0,0.7,20.0,0.7,6.0,,,1.3734118606317332,-0.5867682285440139,Mid
Soualiho Meïté,FRA,MF,Cremonese,Serie A,29,1994,20,17,1387.0,0.3,1.0,15.0,0.6,0.3,0.02,16.0,0.06,-0.5326433139385727,-0.8183009613898894,Mid
Farid El Melali,ALG,"DF,FW",Angers,Ligue 1,25,1997,13,7,615.0,1.1,1.0,37.0,49.0,14.0,,,,0.4203842733465803,3.616309228211815,High
Gonzalo Melero,ESP,MF,Almería,La Liga,29,1994,16,14,1129.0,3.0,3.0,2.4,3.0,1.0,16.0,1.4,3.0,-0.5326433139385727,-2.300329670981606,Low
Birger Meling,NOR,DF,Rennes,Ligue 1,28,1994,20,5,742.0,30.0,2.0,0.0,42.0,58.0,,,,-0.2943864171172844,-0.9617995662957896,Mid
Houboulang Mendes,FRA,DF,Almería,La Liga,24,1998,12,9,739.0,13.0,1.0,0.0,14.0,0.3,,,,0.6586411701678685,-1.118289050357114,Mid
Nuno Mendes,POR,"DF,MF",Paris S-G,Ligue 1,20,2002,19,15,1271.0,1.0,4.0,1.0,2.4,1.0,42.0,64.0,169.0,1.6116687574530215,2.7644716879521725,High
Thiago Mendes,BRA,"MF,DF",Lyon,Ligue 1,31,1992,23,18,1613.0,1.0,1.0,0.6,0.6,0.6,5.0,140.0,12.0,-1.0091571075811492,1.1631346303264805,High
Brais Méndez,ESP,MF,Real Sociedad,La Liga,26,1997,25,23,1915.0,7.0,3.0,4.5,2.4,4.5,32.0,105.0,110.0,0.18212737652529207,4.3693825357887555,High
Batista Mendy,FRA,"MF,DF",Angers,Ligue 1,23,2000,25,25,2053.0,0.6,8.0,19.0,143.0,1.5,0.03,0.04,0.07,0.8968980669891568,11.205694167337379,High
Edouard Mendy,SEN,GK,Chelsea,Premier League,31,1992,9,8,765.0,,1.0,0.0,0.0,0.0,0.0,,,-1.0091571075811492,-4.527390582674665,Low
Ferland Mendy,FRA,DF,Real Madrid,La Liga,27,1995,15,14,1156.0,0.3,1.0,22.0,0.9,0.6,0.02,60.0,0.08,-0.05612952029599616,0.6005718999479036,Mid
Nampalys Mendy,SEN,MF,Leicester City,Premier League,30,1992,14,6,610.0,1.0,1.0,0.1,25.0,0.2,2.0,,,-0.7709002107598608,-3.241868271617561,Low
Gideon Mensah,GHA,DF,Auxerre,Ligue 1,24,1998,19,19,1697.0,42.0,5.0,0.0,0.05,81.0,0.0,0.06,0.0,0.6586411701678685,-0.6365219816819092,Mid
Chris Mepham,WAL,DF,Bournemouth,Premier League,25,1997,21,19,1749.0,0.3,7.0,1.0,0.01,31.0,0.02,0.02,0.03,0.4203842733465803,-0.700154289538101,Mid
Alex Meret,ITA,GK,Napoli,Serie A,26,1997,26,26,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18212737652529207,0.9058738861156449,Mid
Mikel Merino,ESP,MF,Real Sociedad,La Liga,26,1996,21,18,1602.0,1.0,7.0,3.1,1.0,4.0,18.0,3.1,5.4,0.18212737652529207,-0.1774856744376301,Mid
Quentin Merlin,FRA,DF,Nantes,Ligue 1,20,2002,16,15,1265.0,0.4,1.0,33.0,2.3,1.9,0.03,62.0,0.07,1.6116687574530215,3.723655910097158,High
Roque Mesa,ESP,MF,Valladolid,La Liga,33,1989,20,15,1237.0,2.0,1.0,1.1,1.1,1.0,23.0,2.0,91.0,-1.4856709012237255,-2.8370348097209,Low
Illan Meslier,FRA,GK,Leeds United,Premier League,23,2000,27,27,2430.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8968980669891568,1.9066344048624315,High
Lionel Messi,ARG,"FW,MF",Paris S-G,Ligue 1,35,1987,23,23,2027.0,13.0,13.0,13.2,22.9,9.7,89.0,175.0,0.58,-1.962184694866302,8.715625855077148,High
Junior Messias,BRA,"FW,DF",Milan,Serie A,31,1991,18,14,1103.0,4.0,2.0,2.0,0.5,2.0,31.0,38.0,92.0,-1.0091571075811492,-1.4273673332204173,Mid
Thomas Meunier,BEL,DF,Dortmund,Bundesliga,31,1991,10,7,585.0,0.2,2.0,9.0,45.0,30.0,,,,-1.0091571075811492,-0.659264216305673,Mid
Alexander Meyer,GER,GK,Dortmund,Bundesliga,31,1991,7,7,630.0,,1.0,0.0,0.0,0.0,0.0,,,-1.0091571075811492,-4.887484804467806,Low
Sven Michel,GER,FW,Union Berlin,Bundesliga,32,1990,16,2,412.0,3.0,3.0,1.3,0.5,2.0,7.0,1.3,11.0,-1.2474140044024373,-6.507886949308035,Low
Nikola Milenkovic,SRB,DF,Fiorentina,Serie A,25,1997,20,18,1597.0,2.0,1.0,1.7,0.5,1.7,7.0,61.0,2.0,0.4203842733465803,0.8155078451989268,Mid
Arkadiusz Milik,POL,FW,Juventus,Serie A,29,1994,17,10,986.0,6.0,1.0,4.2,4.2,1.0,8.0,5.3,20.0,-0.5326433139385727,-3.118337833984335,Low
Sergej Milinkovic-Savic,SRB,MF,Lazio,Serie A,28,1995,25,24,2100.0,4.0,8.0,3.0,6.4,3.0,38.0,123.0,88.0,-0.2943864171172844,5.147705733546401,High
Vanja Milinkovic-Savic,SRB,GK,Torino,Serie A,26,1997,27,27,2430.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18212737652529207,1.1918637143985669,High
Éder Militão,BRA,DF,Real Madrid,La Liga,25,1998,22,20,1758.0,4.0,4.0,1.6,1.9,0.3,20.0,13.0,0.2,0.4203842733465803,0.8425540876277393,Mid
Luka Milivojevic,SRB,MF,Crystal Palace,Premier League,31,1991,13,4,417.0,0.2,1.0,2.0,2.0,16.0,,,,-1.0091571075811492,-4.531972441420613,Low
Luis Milla,ESP,MF,Getafe,La Liga,28,1994,19,16,1365.0,0.2,5.0,9.0,79.0,1.2,0.01,0.07,0.08,-0.2943864171172844,2.942454540804424,High
Pere Milla,ESP,"FW,MF",Elche,La Liga,30,1992,19,14,1205.0,6.0,1.0,4.5,5.0,3.0,17.0,1.1,3.2,-0.7709002107598608,-2.065198747006675,Low
Enzo Millot,FRA,MF,Stuttgart,Bundesliga,20,2002,15,3,413.0,0.7,3.0,11.0,26.0,16.0,,,,1.6116687574530215,0.1865469858366311,Mid
James Milner,ENG,"DF,MF",Liverpool,Premier League,37,1986,20,6,719.0,0.4,1.0,17.0,1.2,0.8,,64.0,,-2.4386984885088787,-3.1276902976436727,Low
Kim Min-jae,KOR,DF,Napoli,Serie A,26,1996,26,26,2280.0,2.0,1.0,1.0,1.6,1.0,25.0,115.0,6.0,0.18212737652529207,4.944354435880495,High
Takumi Minamino,JPN,"MF,FW",Monaco,Ligue 1,28,1995,14,7,508.0,1.0,3.0,1.1,1.1,1.1,19.0,19.0,46.0,-0.2943864171172844,-3.713115140115017,Low
Tyrone Mings,ENG,DF,Aston Villa,Premier League,30,1993,24,24,2160.0,0.5,2.0,10.0,1.9,1.4,0.02,6.0,0.08,-0.7709002107598608,0.5554920041735172,Mid
Óscar Mingueza,ESP,DF,Celta Vigo,La Liga,23,1999,18,12,1144.0,0.4,2.0,21.0,36.0,59.0,0.03,0.12,0.03,0.8968980669891568,1.7753139252690553,High
Rafa Mir,ESP,FW,Sevilla,La Liga,25,1997,16,10,814.0,3.0,3.0,4.7,5.6,0.8,10.0,39.0,0.33,0.4203842733465803,-1.4035138490092207,Mid
Aleksei Miranchuk,RUS,MF,Torino,Serie A,27,1995,20,18,1512.0,4.0,4.0,2.3,5.6,3.3,36.0,79.0,0.24,-0.05612952029599616,2.310702403885605,High
Juan Miranda,ESP,DF,Betis,La Liga,23,2000,10,6,628.0,1.0,1.0,0.9,30.0,2.1,12.0,,,0.8968980669891568,-0.7224799589480141,Mid
Fabio Miretti,ITA,"MF,FW",Juventus,Serie A,19,2003,19,10,901.0,1.4,2.0,23.0,2.5,1.1,0.14,69.0,0.2,1.8499256542743097,1.947628895911281,High
